<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.09.27	04:30:00	11339.54	11358.73	11330.55	11331.30	3438	0	100
2022.09.27	05:00:00	11331.92	11348.77	11321.90	11346.68	2737	0	200
2022.09.27	05:30:00	11346.80	11350.19	11326.90	11335.52	2557	0	200
2022.09.27	06:00:00	11335.27	11338.37	11311.13	11325.46	2257	0	200
2022.09.27	06:30:00	11324.96	11347.48	11320.97	11338.10	2093	0	200
2022.09.27	07:00:00	11337.73	11343.82	11335.13	11341.66	1465	0	200
2022.09.27	07:30:00	11342.15	11343.16	11330.18	11336.13	1343	0	200
2022.09.27	08:00:00	11336.25	11345.41	11325.75	11337.51	2022	0	200
2022.09.27	08:30:00	11338.13	11356.00	11322.89	11355.24	2327	0	100
2022.09.27	09:00:00	11354.76	11403.02	11349.17	11399.16	3532	0	200
2022.09.27	09:30:00	11399.41	11399.91	11373.96	11375.78	2930	0	100
2022.09.27	10:00:00	11375.53	11441.15	11360.57	11441.15	4640	0	200
2022.09.27	10:30:00	11441.03	11446.98	11422.03	11423.22	4125	0	100
2022.09.27	11:00:00	11422.98	11437.23	11406.26	11416.54	3714	0	200
2022.09.27	11:30:00	11416.75	11417.37	11388.78	11391.52	3452	0	200
2022.09.27	12:00:00	11391.89	11395.06	11352.22	11357.90	3544	0	100
2022.09.27	12:30:00	11357.77	11381.20	11351.97	11357.40	2995	0	200
2022.09.27	13:00:00	11356.66	11413.24	11356.54	11411.51	3471	0	100
2022.09.27	13:30:00	11411.63	11422.97	11394.89	11406.17	3330	0	200
2022.09.27	14:00:00	11407.29	11422.72	11395.98	11411.53	3495	0	200
2022.09.27	14:30:00	11411.16	11451.32	11408.58	11434.18	3748	0	100
2022.09.27	15:00:00	11434.55	11452.71	11424.61	11429.46	3913	0	200
2022.09.27	15:30:00	11429.84	11461.71	11411.69	11411.69	4316	0	100
2022.09.27	16:00:00	11411.19	11427.90	11396.67	11406.70	4959	0	100
2022.09.27	16:30:00	11407.70	11505.08	11399.31	11426.12	7306	0	100
2022.09.27	17:00:00	11426.98	11433.66	11343.36	11371.80	7347	0	100
2022.09.27	17:30:00	11372.80	11440.18	11371.01	11424.07	7077	0	100
2022.09.27	18:00:00	11424.82	11434.26	11308.20	11317.00	6764	0	100
